Core;Radius;Program;1;2;3;4;5
ME78.259c;3;R;77;79;93;110;119
ME78.259e;3;R;101;105;117;128;125
ME78.349;3;R;109;116;122;117;114
ME78.349b;3;R;124;133;141;139;135
ME78.359;3;R;89;93;103;116;123
ME78.359b;3;R;98;108;113;116;123
ME78.359c;3;R;104;106;110;110;112
ME78.359e;3;R;97;122;131;134;135
ME78.549;3;R;63;62;60;64;73
ME78.627Aa;3;R;81;83;86;87;93
ME78.627Ab;3;R;99;114;126;125;126
ME78.627Ac;3;R;113;113;106;95;96
ME78.627Ad;3;R;120;123;126;129;133
ME78.627Ae;3;R;133;143;152;151;148
ME78.627Af;3;R;141;133;130;122;127
ME78.627Ag;3;R;84;102;95;105;114
ME78.627Ah;3;R;101;103;116;127;124
ME78.627Ai;3;R;105;110;107;108;111
ME78.627Aj;3;R;106;108;108;112;118
ME78.627Al;3;R;86;106;116;122;129
ME78.627Am;3;R;112;122;115;123;138
ME78.627An;3;R;104;101;103;106;114
ME78.627Aq;3;R;109;114;112;126;111
ME78.627As;3;R;80;86;99;106;110
ME78.627At;3;R;103;105;112;119;125
ME78.627Au;3;R;121;124;127;131;138
ME78.627Av;3;R;107;127;127;120;107
ME78.719;3;R;86;94;106;114;119
ME78.759;3;R;108;131;114;107;112
ME78.759b;3;R;107;115;125;136;141
ME78.959;3;R;130;115;112;117;122
ME78.959b;3;R;109;107;106;114;121
ME78.959c;3;R;100;100;100;100;98
ME78.1017.1;3;R;90;106;116;121;120
ME78.1017.108;3;R;80;86;88;102;114
ME78.1017.33;3;R;106;112;113;117;124
ME78.1017.55;3;R;105;124;133;142;144
ME78.1017c;3;R;129;113;106;103;107
ME78.1027.65;3;R;72;96;108;114;119
ME78.1027.77;3;R;106;97;101;115;113
ME78.1049f;3;R;77;79;90;102;107
ME78.1049g;3;R;100;100;101;100;98
ME78.1049h;3;R;106;108;125;135;143
ME78.1049i;3;R;104;124;110;117;124
ME78.1049j;3;R;95;87;97;121;135
ME78.1049k;3;R;101;106;121;130;130
ME78.1049l;3;R;107;131;140;144;142
ME78.1049o;3;R;122;119;117;116;117
ME78.1099k;3;R;110;106;104;101;99
ME78.1099l;3;R;116;117;129;140;136
ME78.259c;3;Meshlab;70;71;89;104;115
ME78.259e;3;Meshlab;102;99;114;124;120
ME78.349;3;Meshlab;110;115;122;120;114
ME78.349b;3;Meshlab;120;131;137;138;134
ME78.359;3;Meshlab;85;88;101;117;119
ME78.359b;3;Meshlab;98;106;109;114;119
ME78.359c;3;Meshlab;112;108;107;108;112
ME78.359e;3;Meshlab;91;118;129;132;131
ME78.549;3;Meshlab;66;67;63;64;72
ME78.627Aa;3;Meshlab;85;82;85;87;90
ME78.627Ab;3;Meshlab;99;114;119;119;121
ME78.627Ac;3;Meshlab;114;111;109;96;98
ME78.627Ad;3;Meshlab;133;127;125;129;134
ME78.627Ae;3;Meshlab;132;142;150;147;144
ME78.627Af;3;Meshlab;156;144;136;123;123
ME78.627Ag;3;Meshlab;93;101;98;100;109
ME78.627Ah;3;Meshlab;99;101;113;122;116
ME78.627Ai;3;Meshlab;107;107;106;106;110
ME78.627Aj;3;Meshlab;113;110;107;111;117
ME78.627Al;3;Meshlab;83;100;114;117;128
ME78.627Am;3;Meshlab;113;114;98;122;141
ME78.627An;3;Meshlab;102;97;98;104;111
ME78.627Aq;3;Meshlab;121;113;109;123;111
ME78.627As;3;Meshlab;83;84;95;103;107
ME78.627At;3;Meshlab;105;103;109;117;122
ME78.627Au;3;Meshlab;119;117;123;130;137
ME78.627Av;3;Meshlab;101;122;121;123;111
ME78.719;3;Meshlab;86;89;102;110;116
ME78.759;3;Meshlab;127;127;114;103;108
ME78.759b;3;Meshlab;108;107;122;135;140
ME78.959;3;Meshlab;119;103;103;108;117
ME78.959b;3;Meshlab;114;108;108;113;119
ME78.959c;3;Meshlab;NA;107;103;100;100
ME78.1017.1;3;Meshlab;87;105;113;118;119
ME78.1017.108;3;Meshlab;95;77;83;99;111
ME78.1017.33;3;Meshlab;113;112;113;116;120
ME78.1017.55;3;Meshlab;105;119;131;140;145
ME78.1017c;3;Meshlab;126;112;103;102;105
ME78.1027.65;3;Meshlab;93;96;101;107;115
ME78.1027.77;3;Meshlab;107;96;98;109;111
ME78.1049f;3;Meshlab;86;86;88;98;105
ME78.1049g;3;Meshlab;NA;107;105;101;100
ME78.1049h;3;Meshlab;120;101;119;132;139
ME78.1049i;3;Meshlab;102;116;119;115;122
ME78.1049j;3;Meshlab;93;82;97;120;134
ME78.1049k;3;Meshlab;95;102;121;124;127
ME78.1049l;3;Meshlab;104;126;137;141;140
ME78.1049o;3;Meshlab;121;114;112;112;114
ME78.1099k;3;Meshlab;124;111;107;105;103
ME78.1099l;3;Meshlab;120;115;130;135;132
